"","mean","sd","min","max"
"UptaSPONGIT",0.0112884929057841,0.00193830635110133,0.0055799541,0.0175114382
"AssiSPONGIT",0.00614710518439635,0.000544592694426955,0.0038992627,0.0070786547
"ProdSPONGIT",0.00418398324488615,0.000444999299382046,0.0023498965,0.0049539997
"RespNUDIBRT",0.00153570814612245,0.000207913982745631,0.001275003,0.002124946
"UptaNUDIBRT",0.00333996200948528,0.000592807520032327,0.00202795831,0.0054642963
"AssiNUDIBRT",0.00231008873105262,0.000400221031107688,0.0015976196,0.00416534387
"ProdNUDIBRT",0.000774380584930175,0.000333179379399675,0.0003219496,0.00246495887
"RespSDAMPTR",0.209521502334694,0.00251858811987324,0.1925772,0.2128742
"UptaSDAMPTR",0.870979611488269,0.00959353328450739,0.824632699,0.901318353
"AssiSDAMPTR",0.68756913299031,0.0108750867707661,0.630789327,0.709330223
"ProdSDAMPTR",0.478047630655616,0.00941363433366927,0.423461427,0.496456023
"RespDETCRATR",0.00370755980114286,0.000352285321012517,0.002476516,0.004124927
"UptaDETCRATR",0.0183285433836735,0.00222830800825863,0.01056873,0.03353125
"AssiDETCRATR",0.0113203559120816,0.00138976377664116,0.00564983,0.013738586
"ProdDETCRATR",0.00761279611093878,0.0011454117751269,0.002647575,0.00961688
"RespSUDECRATR",0.0150675336865306,0.00153955799718095,0.01020452,0.01699986
"UptaSUDECRATR",0.0906274819247308,0.0209759208442959,0.0353620471,0.1403154903
"AssiSUDECRATR",0.0444136876552614,0.006638516172658,0.0187896851,0.0565647581
"ProdSUDECRATR",0.0293461539687308,0.00565353245390862,0.0066496445,0.0395884881
"RespCARCRATR",0.343114271812245,0.00519886924103311,0.3119538,0.3517485
"UptaCARCRATR",1.4149863789973,0.0202009386220335,1.33180946,1.4735628104
"AssiCARCRATR",1.12272394980546,0.0184511768853378,1.03537986,1.1710531503
"ProdCARCRATR",0.779609677993217,0.0154602685762784,0.7153866808,0.8193301503
"RespHOMGAMTR",0.00847679504571429,0.000499234240101035,0.005460508,0.008999993
"UptaHOMGAMTR",0.0595554087969968,0.00778258728623205,0.02955166445,0.07461269913
"AssiHOMGAMTR",0.0267905297225478,0.00209607952040559,0.0162300444,0.0299846071
"ProdHOMGAMTR",0.0183137346768335,0.00175167763178334,0.0088565374,0.0209870591
"RespLEPTRETR",0.00740965570163265,0.000524689477757817,0.004816073,0.007999983
"UptaLEPTRETR",0.0517016623417861,0.00654142363266088,0.023333555818,0.06614908778
"AssiLEPTRETR",0.022862714589133,0.00221338678298517,0.01235393676,0.02665434888
"ProdLEPTRETR",0.0154530588875004,0.00188968191716541,0.00631861849,0.01865697788
"RespCUMACERS",0.0272607617918367,0.000853031457770568,0.02095312,0.02824982
"UptaCUMACERS",0.205841115716456,0.00905531425300019,0.1514308592,0.23367727574
"AssiCUMACERS",0.0881981752307414,0.00341597073667908,0.068199984,0.0940951115
"ProdCUMACERS",0.0609374134389047,0.00285256862070563,0.04545629865,0.0658569715
"RespDETCRARS",0.0132107000607347,0.0014291118288979,0.009152357,0.015249922
"UptaDETCRARS",0.065150237917551,0.00533031915150362,0.04313254,0.10033167
"AssiDETCRARS",0.0382601975093878,0.00548258338384327,0.01926498,0.0506305
"ProdDETCRARS",0.0250494974486531,0.00468924348621195,0.008248691,0.03543182
"RespLANCONRS",0.000356406685697959,1.76109601267051e-05,0.000228007,0.0003749987
"UptaLANCONRS",0.00220897197075933,0.000423588733014844,0.001060475,0.0031098574
"AssiLANCONRS",0.001142352824343,7.07540150269744e-05,0.0007185979,0.0012486529
"ProdLANCONRS",0.00078594613864504,5.76671337625142e-05,0.0004235608,0.0008739537
"RespSCAGASRS",0.046445652277551,0.00296775396673797,0.03042468,0.05049921
"UptaSCAGASRS",0.1963901935321,0.0120861408835181,0.146131299547,0.2453009459
"AssiSCAGASRS",0.138448937660263,0.0129989987364323,0.0756378614761,0.16735007742
"ProdSCAGASRS",0.0920032853827123,0.0114802209027882,0.03460584745,0.11714229742
"RespDETAMPS",0.272928152881633,0.00285402158291024,0.2511037,0.2766245
"UptaDETAMPS",1.14786541273469,0.00697381675680539,1.110292,1.171942
"AssiDETAMPS",0.898030429812245,0.0117706509122576,0.8245869,0.9215063
"ProdDETAMPS",0.625102276930612,0.0100228144322222,0.5570177,0.6450048
"RespDPAMPS",0.0117918046755102,0.00105103791635881,0.007888244,0.013125
"UptaDPAMPS",0.0713883265436735,0.00989874850832074,0.04234723,0.10813281
"AssiDPAMPS",0.035729958875102,0.00405419545576829,0.02073746,0.04363484
"ProdDPAMPS",0.0239381541995918,0.00339045984212463,0.010456489,0.03052841
"RespDETSHRS",0.00998227872212245,0.000922617810493811,0.006689958,0.011124988
"UptaDETSHRS",0.0604417092676978,0.00888764924601924,0.0325388517,0.091428881
"AssiDETSHRS",0.0302281610210039,0.00360355005803742,0.0153537621,0.0370025352
"ProdDETSHRS",0.0202458822988815,0.00301360500846175,0.006701488,0.0258795832
"RespCARSHRS",0.050463756835102,0.00194069736139502,0.0372534,0.05274986
"UptaCARSHRS",0.382861318604119,0.0216151253983008,0.30617148185,0.43814881238
"AssiCARSHRS",0.160722367428609,0.00842322527770442,0.12379997601,0.17577636736
"ProdCARSHRS",0.110258610593507,0.00724778297141464,0.0779836693,0.12303962736
"RespTHISCUS",0.139608059738776,0.00148300679591655,0.131467,0.1414997
"UptaTHISCUS",1.13324344010289,0.0161564117475862,1.066173352,1.1782655195
"AssiTHISCUS",0.458907899784522,0.0061500438085856,0.4301063846,0.471469557
"ProdTHISCUS",0.319299840045746,0.00535801611073903,0.289931752,0.330003857
"RespPAGURIS",0.410569996334694,0.00147906016575279,0.4025306,0.4124992
"UptaPAGURIS",3.38934803749129,0.0164109762742642,3.2993633942,3.436122241
"AssiPAGURIS",1.36186388565456,0.00623647089150932,1.336331668,1.374950371
"ProdPAGURIS",0.951293889319865,0.00542986650819707,0.9263991395,0.962452671
"RespDETPOLS",0.202389449795918,0.00152165897416128,0.1957352,0.2044998
"UptaDETPOLS",1.65177192474694,0.0153023251839671,1.60148644,1.70080623
"AssiDETPOLS",0.667639900853061,0.0061681238389748,0.64627658,0.68148266
