"","flow","mean","std","minimum","maximum"
"59","ZOOPLANKT->GADIFO",0.0155253656512083,0.0150100103952841,1.53846924387307e-08,0.114866551247497
"60","SUSBIV->GADIFO",0.0143494486743019,0.0135490484804454,2.67084606798233e-06,0.112238447667179
"61","ACRBRA->GADIFO",0.028307886314047,0.0272235374835686,7.11393843877189e-07,0.239589459253461
"62","GOBIFO->GOBIFO",0.000124842918728025,0.000100793442307418,1.06263799614574e-08,0.000585656772385129
"63","CUMACE->GOBIFO",6.46587250486099e-05,6.16235500334637e-05,6.60861505628755e-09,0.000493902654201262
"64","DETAMP->GOBIFO",6.91558626872933e-05,6.5353645111279e-05,1.0210221670009e-08,0.000506810016455768
"65","DPAMP->GOBIFO",7.19502872214864e-05,6.870933250812e-05,4.47567666584411e-09,0.00052849370736083
"66","CARSHR->GOBIFO",0.000346847505929432,0.000243794769098029,2.42893335953838e-08,0.00126810632984901
"67","HSUDEBI->GOBIFO",7.83149024328464e-05,7.47746700539509e-05,4.0211067833763e-09,0.000563266392822887
"68","SUDEBI->GOBIFO",0.000115928859927077,0.000110486622322418,2.87673010110456e-08,0.0010336841916513
"69","SUSBIV->GOBIFO",7.56581022852203e-05,7.06588287841277e-05,1.62805296713864e-09,0.000506337075521512
"70","DETBIV->GOBIFO",6.25732700167771e-05,5.90728141262937e-05,2.23317471943253e-09,0.000463676015344253
"71","SUSGAS->GOBIFO",6.73252794468971e-05,6.44443910461912e-05,2.78721804113976e-09,0.000498871126639207
"72","PARGAS->GOBIFO",0.000101951897953523,9.74721763574246e-05,8.47424162049235e-09,0.000819640138246394
"73","SCAGAS->GOBIFO",0.000133555558751854,0.00012962933290591,1.59241681076612e-08,0.000996439296496024
"74","BORGAS->GOBIFO",0.000130039236148562,0.000124530385377894,5.30299779490182e-09,0.00109627831294105
"75","DETPOL->GOBIFO",0.000126830555091692,0.000121508932371692,8.81082456485589e-09,0.000902566408716274
"76","NEPHTY->GOBIFO",0.00020679900032979,0.000188913629921858,2.16004065227903e-08,0.00146078492221257
"77","CARPOLP->GOBIFO",0.000105986834703497,9.98340615762973e-05,1.28849989755646e-08,0.000838272760412399
"78","CARPOLC->GOBIFO",0.000364970074130941,0.000244392695517738,1.72643647012151e-08,0.00131556282382004
"79","CARPOLPC->GOBIFO",0.000130627516768762,0.000123703834996263,2.73198956965664e-09,0.00115530169520656
"80","SUDEPOL->GOBIFO",0.000125951664378833,0.000120522095970006,3.32323593643657e-09,0.000983188000010789
"81","SUSWOR->GOBIFO",8.45211189233396e-05,8.19010189632969e-05,3.75836158765866e-08,0.00065863783762741
"82","ZOOPLANKT->GOBIFO",8.77134448403075e-05,8.37678019024162e-05,3.03162472880934e-09,0.000666418802967527
"83","SOM->GOBIFO",4.31823450397136e-05,4.03730223582799e-05,4.29890466254531e-09,0.000294850970935463
"84","SPOM->GOBIFO",6.65332523133586e-05,6.2633741641109e-05,1.88495972376808e-08,0.000514600483920989
"85","GOBIFO->COTTOI",0.000111857094411458,9.71085902694629e-05,7.7203838948995e-09,0.000601174187907882
"86","DETAMP->COTTOI",0.000621368400988057,0.000582803874367588,7.23463228234416e-08,0.00514170490853616
"87","DPAMP->COTTOI",0.000493120770247871,0.000479986083997393,1.09202937396754e-07,0.00454425534343889
"88","CARSHR->COTTOI",0.00308458843433476,0.00229330948371221,6.86549105944931e-07,0.0123711549727444
"89","PAGURI->COTTOI",0.00173869923967026,0.00164618835978958,2.90697183446864e-08,0.0142507579948728
"90","CARNCR->COTTOI",0.00285764764270932,0.00227570538928749,2.69229594360593e-07,0.0136872780143654
"91","HSUDEBI->COTTOI",0.000683823803527544,0.000636181172275494,1.13932628758472e-08,0.00488342312536973
"92","SUDEBI->COTTOI",0.0010191538549963,0.000973791579349455,7.3920470788238e-08,0.0105780888923395
"93","SUSBIV->COTTOI",0.000662127302806976,0.000617524872133509,1.53290526143596e-07,0.00457247593787025
"94","DETBIV->COTTOI",0.000540510467499003,0.000501098766625905,3.74586700495187e-09,0.00391999040586553
"95","SUSGAS->COTTOI",0.000137443400183467,0.000127414530092306,4.37858773059117e-09,0.000997174177563765
"96","PARGAS->COTTOI",0.000324909008045786,0.000299194030613263,6.28106179211140e-09,0.00222212893068546
"97","SCAGAS->COTTOI",0.000582559002435757,0.000543200882043353,1.48076435398007e-08,0.00401973980675524
"98","BORGAS->COTTOI",0.00107152687541476,0.0010238398665102,3.68014680792942e-08,0.00864587930823845
"99","DETPOL->COTTOI",0.00108323946189447,0.00103641086188646,7.70157697772139e-09,0.0104619765847527
"100","NEPHTY->COTTOI",0.00190500820957063,0.00180235609479136,2.99664876380994e-07,0.0146897684567889
"101","CARPOLP->COTTOI",0.000906191978401565,0.000854947833959795,9.46335939620618e-08,0.00636046834015936
"102","CARPOLC->COTTOI",0.00330301086872237,0.0023200181056963,1.14260679687624e-06,0.0126069898486005
"103","CARPOLPC->COTTOI",0.0011392687117977,0.00108490071584007,1.14867507645313e-08,0.00875283659003058
"104","SUDEPOL->COTTOI",0.00109882072826835,0.00105174616598751,2.30367050487595e-08,0.00834132022019535
"105","SUSWOR->COTTOI",0.000684809316260466,0.000648297438192989,7.03535789438109e-08,0.00496665954752312
"106","ZOOPLANKT->COTTOI",0.000744249442063371,0.000694387446801604,2.22446812060572e-07,0.00573805660073465
"107","GOBIFO->PERCOI",0.000107346432262438,9.32267434849664e-05,4.38056445869854e-09,0.000610964951521105
"108","CUMACE->PERCOI",0.000292578758412651,0.000262328600129581,2.56214036606925e-08,0.00179344235892597
"109","CALLIA->PERCOI",0.000297666659349453,0.000273539525700411,8.72249890624023e-09,0.00212104401187175
"110","DETAMP->PERCOI",0.00032500947963387,0.000297290112034799,6.03475387175000e-09,0.00228871014817271
"111","DPAMP->PERCOI",0.000292689212747002,0.000269893018387795,1.60165984561787e-08,0.00213389061135496
"112","CARSHR->PERCOI",0.00103243301005716,0.00079888484815357,3.41321862224646e-08,0.00471930158962934
"113","PAGURI->PERCOI",0.000752528949386445,0.000696533066153023,3.00132606824197e-08,0.00548492328939405
"114","CARNCR->PERCOI",0.000984904309765254,0.000801259129520825,1.19647412025564e-07,0.0051991058349818
"115","DETPOL->PERCOI",0.000535282630003125,0.000503768710422771,1.20554413080785e-08,0.00438792144651858
"116","NEPHTY->PERCOI",0.000783639038144822,0.000719634271898703,8.72711348547626e-08,0.00492481161671369
"117","CARPOLP->PERCOI",0.000469829172378081,0.000436411310202783,2.5556017954891e-08,0.00357082086513277
"118","CARPOLC->PERCOI",0.00105950599922376,0.000792560156514743,2.36893149785497e-07,0.00438499624248097
"119","CARPOLPC->PERCOI",0.000552142783954169,0.000512830752647353,2.42063928938493e-08,0.00435152677525862
"120","SUDEPOL->PERCOI",0.000537695859543845,0.000501999680266972,3.5658622027368e-09,0.00386698841317402
"121","ZOOPLANKT->PERCOI",0.000388702796667579,0.000352973465491528,1.95632999196497e-09,0.00251100790354173
"122","SOM->PERCOI",0.000202936661547788,0.000177964951382614,5.86897839656149e-08,0.00123588628486088
"123","CALLIO->SCORPA",0.00149762023107109,0.00126621662459631,7.27786353841913e-08,0.00803200005707106
"124","CARANG->SCORPA",1.85065721963624e-05,1.44407269347814e-05,1.18365446524077e-09,7.67256070914456e-05
"125","CLUPEI->SCORPA",9.48223875752096e-05,7.9901234919371e-05,8.97855143417644e-09,0.000491382382242097
"126","GADIFO->SCORPA",0.00185222929371191,0.00125463802430611,1.39997587444637e-07,0.00787960097192347
"127","GOBIFO->SCORPA",0.00010387992099299,9.13348511186587e-05,8.26837529932338e-09,0.000645784933190758
"128","AMMODY->SCORPA",0.000675547039573729,0.000594165652993683,1.11125067440079e-07,0.00462352629756584
"129","PLEURO->SCORPA",0.00182020891683305,0.00158212947185298,1.35197973170366e-07,0.00970362689303542
"130","CUMACE->SCORPA",0.000784864715094247,0.000662563627513857,3.97238042191633e-07,0.00500003878545731
"131","DETAMP->SCORPA",0.000839500094882047,0.000721405241974932,8.78737279678119e-09,0.00484139608022761
"132","DPAMP->SCORPA",0.000626835520553953,0.00056824910420708,1.83805626247904e-07,0.00473324635664518
