$X
              [,1]         [,2]         [,3]         [,4]         [,5]
 [1,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 [2,] 2.148169e-04 4.419572e-06 7.769651e-05 6.647496e-04 6.947455e-05
 [3,] 1.274322e-03 2.534159e-05 2.350737e-03 1.942735e-03 7.754241e-05
 [4,] 1.851880e-03 1.280980e-05 2.280352e-04 1.802834e-04 6.228631e-04
 [5,] 8.686643e-04 1.053442e-05 6.153866e-04 1.192003e-03 5.439917e-04
 [6,] 9.998484e-05 2.951367e-05 1.234359e-03 7.188996e-04 8.182310e-05
 [7,] 7.997852e-04 3.921963e-06 3.974377e-05 1.858339e-04 4.688173e-04
 [8,] 6.063273e-04 6.703489e-06 5.626946e-04 1.760283e-03 5.085565e-04
 [9,] 9.442885e-04 7.837231e-05 6.062509e-04 4.520143e-03 2.910969e-05
[10,] 1.179360e-03 6.635402e-05 4.721223e-05 1.279611e-04 7.210679e-04
[11,] 1.304715e-03 8.053950e-05 1.342850e-04 5.480187e-04 5.709329e-04
[12,] 4.245915e-04 6.193684e-05 7.383692e-04 2.933811e-03 1.095853e-03
[13,] 1.268901e-03 8.776165e-05 2.271258e-03 1.979169e-03 1.242039e-03
[14,] 1.074872e-03 6.771082e-05 5.044248e-04 1.334452e-03 2.479402e-03
[15,] 1.556056e-04 2.107068e-05 9.029181e-04 5.236363e-04 6.603548e-04
[16,] 8.764486e-07 1.685628e-05 1.331924e-04 6.011514e-04 1.024735e-04
[17,] 3.079551e-03 5.607432e-05 5.047541e-04 3.526522e-03 3.172667e-04
[18,] 8.470837e-04 2.406149e-05 2.022580e-06 1.112808e-03 3.211694e-04
[19,] 2.275449e-03 1.674253e-05 1.338367e-03 1.527482e-05 1.305767e-03
[20,] 1.062968e-03 1.364545e-05 1.742987e-03 1.564566e-03 2.107103e-04
[21,] 4.874923e-04 4.630014e-05 2.846428e-03 7.792047e-04 6.449769e-04
[22,] 8.062015e-04 2.084118e-05 4.212702e-04 2.524495e-03 4.820790e-04
[23,] 1.017779e-03 1.069423e-05 6.967429e-04 1.524140e-03 6.004799e-04
[24,] 1.308447e-03 5.912435e-05 4.361225e-05 8.159828e-04 1.846530e-03
[25,] 2.374940e-05 9.343174e-05 1.045942e-03 5.751842e-04 5.509233e-05
[26,] 7.145564e-04 5.621794e-05 1.545810e-03 4.798471e-04 5.710186e-04
[27,] 3.732721e-04 8.205383e-06 2.389235e-04 2.917485e-03 9.800311e-04
[28,] 3.107187e-04 1.272607e-05 8.700621e-04 2.811066e-03 5.827379e-04
[29,] 1.623496e-03 2.176570e-05 1.328047e-04 1.918811e-03 3.346241e-05
[30,] 7.262485e-04 1.008631e-05 2.661778e-04 5.901346e-04 1.069827e-03
[31,] 3.919704e-04 5.565719e-05 2.498612e-03 1.087643e-03 5.215365e-04
[32,] 3.879336e-05 1.953993e-05 2.898760e-03 7.085130e-04 5.554877e-04
[33,] 1.716673e-04 6.452315e-05 6.393373e-04 1.866561e-03 1.536375e-03
[34,] 1.742566e-03 4.163394e-05 5.937618e-04 1.373973e-03 1.749782e-05
[35,] 1.243386e-03 6.767494e-05 3.279907e-04 6.608643e-04 8.890085e-04
[36,] 6.317364e-04 6.297813e-05 6.666563e-04 1.892828e-03 7.101815e-04
[37,] 8.009384e-05 3.627741e-05 1.728669e-03 7.798240e-04 2.904895e-04
[38,] 3.116370e-03 9.135678e-05 5.035728e-04 4.155992e-04 9.042524e-04
[39,] 1.842814e-03 3.013343e-05 4.412597e-05 6.440570e-04 1.616326e-03
[40,] 6.028876e-04 7.953200e-06 1.196729e-03 1.615690e-04 1.304802e-04
[41,] 7.389882e-04 2.171407e-05 3.554388e-04 3.136217e-04 1.210607e-04
[42,] 2.606911e-03 9.893070e-05 5.525053e-04 2.239655e-04 3.083865e-04
[43,] 1.705255e-03 3.685372e-07 1.873703e-05 3.008437e-04 3.163944e-04
[44,] 4.777602e-04 6.845409e-05 5.458100e-04 3.328490e-03 6.832041e-04
[45,] 1.919089e-03 1.563938e-05 8.150941e-05 1.134142e-05 8.755594e-04
[46,] 3.437769e-04 6.983402e-05 1.902165e-03 3.023351e-03 1.442038e-05
[47,] 3.450216e-03 1.987033e-05 1.000410e-04 8.028463e-04 4.241329e-04
[48,] 5.402422e-05 9.343300e-05 6.724868e-04 1.229679e-03 8.190283e-04
[49,] 1.018410e-05 4.681057e-05 1.273371e-03 1.047877e-03 4.237171e-05
[50,] 1.190231e-04 1.377761e-05 4.334219e-04 9.386536e-04 5.608919e-05
              [,6]         [,7]         [,8]         [,9]        [,10]
 [1,] 0.0000000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 [2,] 0.0024294975 9.662390e-04 2.697543e-04 4.498713e-04 1.913196e-04
 [3,] 0.0026398356 2.179074e-04 8.265624e-04 1.437951e-04 4.799985e-04
 [4,] 0.0001545783 2.934362e-04 6.954455e-04 6.496068e-04 2.234954e-03
 [5,] 0.0009050085 4.806997e-03 1.157975e-03 5.187733e-04 5.749143e-04
 [6,] 0.0035159586 1.445492e-03 2.479283e-03 1.215248e-03 1.348921e-04
 [7,] 0.0038971479 2.094682e-04 2.898252e-04 1.019338e-03 7.948022e-04
 [8,] 0.0009368985 2.703607e-04 3.973417e-04 1.464075e-03 4.005683e-04
 [9,] 0.0002945645 6.813653e-04 9.339051e-04 1.047898e-03 2.046225e-03
[10,] 0.0011517364 6.778506e-05 1.070742e-03 5.192963e-04 4.555164e-04
[11,] 0.0010991821 1.785342e-03 1.758324e-03 8.494002e-04 2.444911e-04
[12,] 0.0027382495 2.515367e-04 1.818523e-03 1.083775e-03 8.134116e-06
[13,] 0.0003161226 8.053431e-04 5.230566e-04 5.849207e-04 7.887807e-04
[14,] 0.0011839036 3.881598e-04 1.321319e-03 1.230774e-03 4.782912e-04
[15,] 0.0041585431 7.307728e-04 6.825309e-04 5.784828e-04 3.684723e-04
[16,] 0.0007618421 1.499083e-03 6.687287e-04 1.891712e-03 1.418658e-03
[17,] 0.0004145191 1.269634e-03 1.168555e-04 6.352119e-04 3.889345e-04
[18,] 0.0024323909 9.131976e-04 1.287300e-04 2.078913e-04 2.938302e-04
[19,] 0.0033320339 1.085577e-03 1.644002e-03 1.506477e-03 2.822960e-04
[20,] 0.0013123593 1.410789e-04 1.681953e-03 2.020350e-04 1.124336e-03
[21,] 0.0045862311 3.219734e-04 8.054439e-04 1.179789e-04 2.703850e-05
[22,] 0.0003676763 2.313844e-03 1.976398e-04 1.005545e-03 1.674003e-03
[23,] 0.0007579547 2.680581e-04 6.552235e-06 7.457159e-04 9.039134e-04
[24,] 0.0006159870 1.704931e-03 5.341465e-03 3.078295e-04 2.656452e-04
[25,] 0.0014383682 2.312988e-03 4.736856e-03 8.945855e-04 9.302504e-04
[26,] 0.0026558643 6.829118e-04 2.159201e-03 1.463732e-04 5.286883e-05
[27,] 0.0039732767 1.988732e-04 4.199987e-05 8.568717e-04 4.157580e-04
[28,] 0.0001590876 9.622988e-04 5.602408e-05 1.544373e-04 2.001992e-03
[29,] 0.0009083250 5.808510e-04 2.783742e-04 9.981291e-04 7.821302e-04
[30,] 0.0006501255 1.796964e-03 1.233660e-03 1.606168e-04 1.198522e-03
[31,] 0.0019567185 1.851997e-03 1.175238e-03 5.696977e-05 1.797638e-03
[32,] 0.0020275039 1.023158e-03 1.088097e-03 1.800081e-04 1.192371e-04
[33,] 0.0016082588 1.537787e-03 5.623576e-04 1.562140e-03 7.216168e-04
[34,] 0.0022132221 5.774953e-04 1.116374e-03 1.470894e-03 5.846533e-05
[35,] 0.0006157286 1.749883e-03 2.609992e-04 7.988218e-04 4.439712e-04
[36,] 0.0002832595 2.415658e-04 6.215070e-04 4.317990e-04 1.421177e-03
[37,] 0.0019010430 1.116914e-03 2.350097e-03 1.876219e-04 3.896967e-05
[38,] 0.0021384768 1.238387e-03 2.539947e-03 1.202601e-03 2.339804e-04
[39,] 0.0014334801 1.232210e-03 1.154906e-03 1.510121e-03 1.443000e-04
[40,] 0.0014528273 4.299055e-03 5.820090e-05 1.892396e-03 6.094198e-05
[41,] 0.0009078337 5.072355e-04 9.831932e-05 1.715548e-03 2.072489e-03
[42,] 0.0007824370 2.654172e-03 1.798742e-03 2.185565e-03 4.800832e-04
[43,] 0.0032563166 7.713696e-04 9.487404e-04 2.135928e-03 3.832023e-04
[44,] 0.0006770679 6.990273e-06 1.889329e-03 1.098192e-03 7.399741e-04
[45,] 0.0033310870 8.420846e-04 1.742796e-03 2.064105e-05 1.853735e-03
[46,] 0.0024290237 5.928952e-04 5.434688e-04 6.266795e-04 3.906974e-04
[47,] 0.0009257828 2.262292e-04 3.989005e-04 3.440277e-04 1.411319e-03
[48,] 0.0006635322 1.508067e-03 1.016265e-03 3.882329e-04 5.639868e-04
[49,] 0.0012074723 7.048785e-03 5.704304e-04 1.123809e-03 2.802023e-04
[50,] 0.0009025099 4.318040e-04 1.060501e-03 1.694524e-04 2.428479e-03
             [,11]        [,12]        [,13]        [,14]        [,15]
 [1,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 [2,] 3.416486e-04 4.282134e-04 1.047022e-03 2.775363e-04 2.065287e-05
 [3,] 7.716792e-04 1.078588e-04 5.402864e-04 3.912500e-04 1.368574e-03
 [4,] 2.246987e-03 3.721364e-05 2.103159e-03 2.068235e-04 1.001620e-03
 [5,] 3.322291e-04 2.740288e-04 1.266773e-03 1.937422e-04 5.017464e-04
 [6,] 9.642487e-04 6.636319e-04 3.703073e-04 1.149950e-03 2.140632e-03
 [7,] 1.586624e-03 3.802771e-04 9.693142e-04 3.382787e-04 8.934008e-04
 [8,] 3.615284e-03 7.012103e-04 6.012278e-04 1.723330e-05 1.169632e-03
 [9,] 8.816468e-04 1.159825e-03 6.059382e-04 2.270075e-04 1.234093e-03
[10,] 3.503653e-04 4.584005e-04 3.865651e-03 4.162643e-04 1.603805e-03
[11,] 2.283357e-03 1.170747e-03 1.175590e-05 8.734284e-05 6.959063e-04
[12,] 1.340340e-03 1.011945e-04 3.804389e-04 3.495700e-04 5.876893e-04
[13,] 7.877791e-04 6.222276e-04 2.004893e-03 9.619188e-05 1.378883e-03
[14,] 1.067046e-03 1.147195e-03 1.626090e-03 1.511819e-04 2.723338e-04
[15,] 5.850419e-04 1.069430e-03 2.122515e-03 6.590234e-05 1.363402e-03
[16,] 1.061969e-03 2.886302e-04 2.387696e-03 1.985440e-05 2.084133e-03
[17,] 7.780776e-04 2.294742e-03 9.560692e-04 1.213998e-04 2.839841e-04
[18,] 9.721113e-04 2.101896e-04 2.462146e-03 1.018661e-04 2.047632e-04
[19,] 1.135091e-03 4.911064e-04 9.566510e-04 5.504871e-04 1.109630e-03
[20,] 9.130414e-04 2.738152e-04 1.804207e-03 2.929795e-05 7.739163e-04
[21,] 5.005715e-04 5.924267e-04 6.596042e-04 3.808299e-04 1.581340e-03
[22,] 9.886881e-04 7.144264e-05 3.518571e-04 8.168932e-05 1.095662e-03
[23,] 6.005741e-04 1.119670e-05 1.089340e-03 4.922230e-05 1.483658e-03
[24,] 2.211468e-03 8.246284e-04 4.622663e-04 1.118233e-05 4.123516e-04
[25,] 9.147060e-04 4.726029e-04 5.076637e-04 1.793896e-04 4.253648e-04
[26,] 2.094726e-04 7.096147e-04 2.609787e-05 2.215371e-04 8.772689e-04
[27,] 1.219560e-03 5.338975e-04 2.740000e-04 1.147971e-04 6.423090e-04
[28,] 2.050349e-03 1.150632e-03 7.277855e-04 1.018219e-03 8.463995e-04
[29,] 5.950468e-04 3.250570e-04 1.105758e-04 5.846474e-05 1.624438e-03
[30,] 3.346580e-04 3.682534e-04 8.189835e-04 4.900990e-05 2.749791e-03
[31,] 1.046309e-03 5.317042e-05 9.738142e-04 1.313854e-03 1.252398e-05
[32,] 8.555537e-04 1.615741e-05 2.838519e-04 1.819746e-04 1.754323e-03
[33,] 1.351452e-03 4.035308e-05 7.211588e-04 2.918403e-04 1.693737e-03
[34,] 1.548137e-03 2.089259e-04 2.789063e-03 1.884152e-04 1.403880e-04
[35,] 9.114634e-04 1.391722e-04 2.027093e-03 8.612986e-05 1.410074e-04
[36,] 2.905522e-03 3.424630e-04 1.154257e-03 1.561754e-04 3.733590e-04
[37,] 1.851101e-03 7.085602e-05 2.339738e-03 2.193893e-04 6.948884e-04
[38,] 1.527998e-03 4.146273e-04 4.408164e-04 1.036087e-04 6.876803e-05
[39,] 1.273030e-03 3.570079e-04 1.410905e-03 3.665471e-04 1.148763e-03
[40,] 7.880716e-04 4.375338e-04 1.730530e-03 3.489597e-04 1.657360e-03
[41,] 3.418994e-03 2.538740e-04 4.179486e-04 3.115758e-05 3.641665e-03
[42,] 3.051149e-04 2.614983e-04 2.013584e-03 1.895490e-04 1.721144e-03
[43,] 3.312780e-04 1.110747e-03 8.005987e-04 7.741095e-05 1.518904e-03
[44,] 1.159579e-03 7.414619e-04 3.360325e-04 2.972784e-04 4.021327e-04
[45,] 7.950885e-05 8.327272e-05 5.257776e-04 2.734514e-04 2.499637e-03
[46,] 1.197364e-03 4.678130e-04 8.427027e-05 8.698360e-04 7.637644e-04
[47,] 5.310164e-05 2.780460e-04 9.936828e-04 6.267843e-04 1.941153e-03
[48,] 1.354035e-03 4.095165e-04 2.077361e-04 3.853961e-05 7.503963e-04
[49,] 7.320495e-04 1.786567e-04 4.283722e-04 2.184595e-04 6.241022e-04
[50,] 1.621164e-04 4.992208e-04 1.809703e-03 3.370054e-04 3.213219e-03
             [,16]        [,17]        [,18]        [,19]        [,20]
 [1,] 0.000000e+00 0.000000e+00 2.623020e-03 0.000000e+00 0.000000e+00
 [2,] 6.636531e-06 7.549963e-04 2.162880e-03 3.890845e-04 9.719921e-04
 [3,] 2.655988e-05 5.471032e-04 2.351361e-03 1.100181e-03 2.386086e-04
 [4,] 1.126971e-04 1.263061e-03 3.305987e-04 1.124692e-03 1.841289e-04
 [5,] 2.296417e-05 2.533176e-04 1.792856e-03 2.346613e-04 9.852732e-04
 [6,] 6.645172e-06 3.481670e-04 2.140983e-03 4.664433e-04 6.121668e-06
 [7,] 3.514534e-04 1.498635e-04 1.912506e-03 6.128453e-04 5.117684e-04
 [8,] 1.599934e-04 4.234347e-03 4.095825e-04 4.344158e-05 4.574068e-04
 [9,] 2.831789e-05 1.265265e-03 7.287024e-04 1.355316e-04 1.432791e-04
[10,] 1.523519e-04 1.879116e-04 1.385598e-03 7.747733e-04 1.202925e-03
[11,] 1.060299e-04 3.894905e-04 2.598009e-03 9.171850e-05 3.634474e-04
[12,] 3.359327e-05 6.012667e-04 8.685925e-04 6.691633e-04 1.778050e-04
[13,] 8.567650e-05 2.715122e-03 5.066862e-04 1.167619e-03 5.320627e-05
[14,] 3.528717e-04 8.205059e-04 1.488323e-03 1.100724e-03 1.216244e-04
[15,] 8.368438e-05 1.981858e-04 6.212920e-04 1.268316e-06 5.182410e-04
[16,] 2.603126e-04 8.896920e-04 1.191437e-03 1.303666e-04 4.302121e-04
[17,] 1.321207e-04 7.454854e-04 2.833620e-04 5.504604e-05 2.989639e-04
[18,] 5.161939e-05 1.773633e-04 6.791217e-04 1.185180e-04 8.741814e-04
