$X
              [,1]         [,2]         [,3]         [,4]         [,5]
 [1,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 [2,] 2.042074e-03 7.539285e-07 7.182181e-04 9.297740e-04 3.803224e-04
 [3,] 1.486243e-03 3.069654e-05 2.448174e-03 3.355186e-04 8.067261e-04
 [4,] 1.888612e-04 9.647761e-05 4.078772e-04 4.199771e-04 1.779536e-04
 [5,] 3.778673e-04 3.083769e-05 2.644167e-04 1.297468e-03 1.953147e-03
 [6,] 1.801713e-04 1.210310e-05 1.013129e-04 1.985190e-03 1.529592e-03
 [7,] 4.064439e-04 1.116402e-05 9.649536e-04 1.819123e-03 1.441508e-03
 [8,] 1.474205e-03 1.912768e-05 3.062781e-04 8.869987e-04 1.577773e-04
 [9,] 1.052650e-03 8.422804e-05 7.959984e-05 8.394891e-04 7.200312e-04
[10,] 8.540138e-04 2.744205e-05 1.181098e-03 6.675408e-04 4.968032e-05
[11,] 5.509779e-04 3.056113e-05 1.009385e-04 2.271187e-03 1.066001e-03
[12,] 1.509070e-04 3.117311e-05 1.317561e-03 1.343497e-03 1.678641e-03
[13,] 4.699100e-03 1.988751e-05 5.525675e-04 1.203818e-03 1.253269e-04
[14,] 5.035197e-04 7.674897e-06 8.316534e-04 3.321890e-04 7.000218e-04
[15,] 7.740884e-04 3.948909e-05 1.702995e-03 3.077839e-04 1.614204e-03
[16,] 7.116980e-04 4.674251e-05 2.061068e-04 8.245269e-04 1.521165e-03
[17,] 1.946983e-04 1.246631e-05 9.097121e-04 3.641252e-04 8.609615e-04
[18,] 9.410962e-04 1.643643e-05 3.200132e-04 3.463875e-04 4.066694e-04
[19,] 1.195223e-03 4.540917e-05 1.109739e-03 3.331376e-03 8.633632e-04
[20,] 2.282131e-03 8.303280e-05 2.338005e-03 1.265065e-03 3.355505e-04
[21,] 1.787578e-03 4.584741e-06 2.885047e-03 2.056613e-03 9.753294e-05
[22,] 3.505147e-04 1.542966e-06 3.126876e-03 3.552523e-03 2.205560e-04
[23,] 6.989293e-04 1.862373e-05 2.177796e-03 4.882291e-03 4.013428e-04
[24,] 1.661269e-03 1.228119e-05 5.239557e-05 4.384857e-03 1.016703e-03
[25,] 1.933237e-04 1.119733e-05 7.925174e-05 7.566651e-05 2.791236e-04
[26,] 1.329942e-03 5.890751e-05 1.104118e-03 5.845975e-04 3.286854e-04
[27,] 2.336916e-03 9.932433e-06 3.738572e-05 9.074559e-04 1.732685e-03
[28,] 8.783325e-05 8.867268e-05 6.244147e-05 5.096517e-04 1.237292e-04
[29,] 2.074140e-03 4.727147e-06 6.290060e-04 3.565703e-04 1.033024e-03
[30,] 1.977429e-04 1.168811e-04 4.431562e-04 1.659382e-03 1.011567e-03
[31,] 1.900369e-03 4.860164e-05 1.253927e-04 2.548716e-03 2.411037e-03
[32,] 4.487668e-05 3.079897e-05 2.538635e-04 1.644035e-04 5.493282e-04
[33,] 1.173707e-03 6.846235e-05 1.573709e-04 1.281524e-03 6.664545e-04
[34,] 2.828049e-04 9.814431e-06 1.485495e-03 1.474257e-04 1.720755e-04
[35,] 4.780537e-04 1.020875e-04 2.238844e-04 6.293902e-05 8.575713e-04
[36,] 1.024788e-03 1.167218e-04 4.803363e-05 2.142282e-03 6.327545e-04
[37,] 7.067673e-04 4.887017e-06 2.494441e-03 2.471287e-03 2.635300e-04
[38,] 7.260786e-05 3.160396e-06 2.191395e-03 1.549088e-03 2.207590e-03
[39,] 2.613971e-04 7.090578e-05 3.255932e-03 1.923422e-03 2.083836e-04
[40,] 1.002385e-03 5.081109e-05 4.412734e-04 2.065534e-03 1.699251e-04
[41,] 1.391965e-04 3.562713e-05 1.054653e-03 4.367636e-03 9.881381e-05
[42,] 8.640884e-04 1.667156e-04 1.097490e-03 7.073890e-04 2.888438e-04
[43,] 4.410306e-04 7.709021e-05 3.648118e-04 6.359979e-04 6.943557e-04
[44,] 2.006448e-03 1.164547e-04 4.997509e-04 2.297954e-04 1.966055e-03
[45,] 2.578445e-03 2.311442e-05 1.450460e-03 1.642746e-03 2.608929e-04
[46,] 1.503393e-03 2.737188e-06 7.997040e-05 3.538860e-04 7.877957e-04
[47,] 1.320941e-04 9.861669e-06 4.925615e-04 1.659321e-04 2.351205e-03
[48,] 4.806746e-05 2.178919e-05 2.155861e-03 4.583864e-06 1.245697e-03
[49,] 1.149899e-03 4.901451e-05 8.826501e-04 1.896845e-03 2.615151e-04
[50,] 1.117968e-03 3.406141e-05 6.428352e-04 1.678147e-03 5.953607e-04
              [,6]         [,7]         [,8]         [,9]        [,10]
 [1,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 [2,] 7.295405e-05 1.702120e-03 6.415319e-04 1.882049e-03 1.373573e-03
 [3,] 4.712505e-04 2.130088e-04 3.870752e-04 4.447261e-04 2.563137e-06
 [4,] 2.183751e-04 6.400812e-04 3.641058e-04 7.028325e-04 1.086523e-03
 [5,] 5.483078e-04 1.825996e-03 1.640810e-03 4.638842e-04 2.883425e-04
 [6,] 2.190310e-03 2.232415e-04 1.057240e-04 8.561156e-05 1.662716e-03
 [7,] 2.482860e-03 1.196468e-03 1.113726e-04 4.497911e-04 2.725173e-04
 [8,] 1.973927e-03 2.497882e-04 1.127448e-03 3.816392e-04 8.020458e-06
 [9,] 2.215246e-03 3.468037e-03 8.166341e-04 1.277937e-04 2.119862e-03
[10,] 5.803972e-04 1.644458e-03 8.283700e-04 7.403616e-04 1.017742e-03
[11,] 1.569209e-03 1.622707e-03 1.552598e-03 1.142756e-03 1.141837e-03
[12,] 1.890384e-03 4.601094e-04 1.148798e-03 2.899458e-05 1.125266e-04
[13,] 5.356937e-04 8.015595e-04 1.564589e-04 1.663909e-03 6.900770e-04
[14,] 9.948483e-04 1.194134e-03 1.113039e-03 2.363317e-04 5.240829e-04
[15,] 6.514580e-04 1.888178e-03 8.429959e-04 4.755642e-04 1.871683e-04
[16,] 1.829169e-03 2.265071e-03 1.078684e-03 6.482360e-04 8.689632e-04
[17,] 1.133349e-04 7.462593e-04 1.790449e-04 2.998531e-04 6.806456e-04
[18,] 1.587708e-03 1.481479e-03 2.269852e-04 4.020733e-04 2.089216e-03
[19,] 9.579868e-04 4.685283e-04 2.931784e-04 1.435660e-03 1.457915e-03
[20,] 4.684188e-04 1.004082e-03 1.108387e-04 8.232720e-04 7.635374e-04
[21,] 9.836856e-04 3.871313e-04 1.093196e-05 5.741418e-04 5.625573e-05
[22,] 2.931826e-04 5.926967e-04 3.654817e-04 6.850078e-04 6.223706e-04
[23,] 4.239632e-04 1.423815e-03 7.802817e-04 6.029149e-04 7.537477e-04
[24,] 7.761356e-05 5.427908e-04 1.128972e-03 4.397207e-05 1.852181e-03
[25,] 1.253722e-03 2.515498e-04 1.474129e-03 9.494859e-04 1.132835e-03
[26,] 6.696063e-06 1.570769e-03 2.246495e-03 1.266591e-04 2.742459e-04
[27,] 1.698528e-03 2.409547e-03 9.956546e-04 2.968217e-05 4.275996e-04
[28,] 1.614138e-04 1.194416e-03 4.298238e-03 1.782948e-04 7.347887e-04
[29,] 2.778259e-03 7.933375e-04 3.488882e-03 2.498104e-04 7.552350e-04
[30,] 1.555676e-03 4.940124e-04 6.438645e-04 5.609052e-04 8.009762e-04
[31,] 8.510042e-05 2.152799e-03 1.251901e-03 9.703433e-05 7.737245e-04
[32,] 1.993348e-04 5.614814e-04 8.174491e-04 2.144449e-03 8.453755e-04
[33,] 2.104529e-03 9.317800e-04 6.246419e-04 1.356778e-03 1.760421e-03
[34,] 2.395450e-03 8.614002e-04 2.688511e-03 1.360482e-04 8.261782e-05
[35,] 3.091836e-05 6.886951e-04 3.949615e-03 3.072632e-04 3.276245e-04
[36,] 2.012483e-05 1.228303e-04 1.318374e-03 1.508431e-03 1.836923e-03
[37,] 4.032405e-04 2.009017e-03 2.242140e-03 4.644698e-04 3.533277e-05
[38,] 3.699765e-05 2.149953e-03 2.339735e-03 1.270483e-04 2.393617e-04
[39,] 8.597064e-04 3.414799e-03 1.435812e-03 2.381273e-04 8.262378e-04
[40,] 2.246749e-04 1.531505e-03 8.752225e-05 1.095855e-04 1.328703e-04
[41,] 1.189704e-03 7.587248e-04 2.869628e-03 1.560941e-03 5.116824e-04
[42,] 6.726919e-04 3.813154e-03 1.035743e-03 4.293453e-04 4.338122e-04
[43,] 4.149462e-03 5.481791e-04 9.335967e-05 3.216909e-03 1.863155e-03
[44,] 1.519314e-03 2.775994e-04 2.417089e-03 4.279662e-04 4.860736e-04
[45,] 1.101503e-04 1.310252e-03 3.936234e-04 1.882563e-04 6.732257e-04
[46,] 1.814331e-03 6.614472e-05 1.441387e-03 2.398973e-04 1.427676e-04
[47,] 5.345616e-04 1.352744e-03 8.745175e-04 2.279301e-05 1.389354e-04
[48,] 5.308269e-04 3.306333e-03 8.033047e-04 3.032871e-04 4.230457e-04
[49,] 1.364889e-03 1.019261e-04 1.975364e-04 1.198201e-03 5.346398e-04
[50,] 1.025069e-03 3.315064e-03 6.607627e-04 1.376361e-04 1.032087e-03
             [,11]        [,12]        [,13]        [,14]        [,15]
 [1,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 [2,] 1.882599e-03 9.071016e-04 2.885510e-03 4.288794e-04 4.174778e-04
 [3,] 3.512254e-03 2.951566e-04 2.760942e-04 1.774500e-04 1.002630e-03
 [4,] 5.057640e-04 9.815523e-04 3.969200e-04 5.215243e-04 9.117315e-04
 [5,] 1.058431e-03 1.430033e-04 2.719686e-03 4.198706e-04 9.685420e-04
 [6,] 2.329220e-03 1.672509e-04 6.796821e-04 2.437152e-05 1.127265e-03
 [7,] 2.266189e-03 1.981763e-04 9.748757e-04 1.094332e-04 2.766518e-04
 [8,] 3.077662e-04 9.173437e-04 1.625435e-03 3.008855e-04 4.358227e-04
 [9,] 1.741755e-03 3.691040e-04 5.663305e-04 5.482616e-04 1.283651e-03
[10,] 8.937447e-04 1.248000e-03 1.379234e-04 1.504318e-04 3.855730e-03
[11,] 2.001270e-03 1.715128e-04 2.503124e-04 2.387409e-04 3.042696e-04
[12,] 2.507559e-03 4.174152e-04 2.702150e-03 1.200180e-05 1.719343e-04
[13,] 4.069096e-04 1.243540e-03 2.434027e-04 2.696809e-04 3.507301e-03
